Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,1,2017-07-01 00:00:00,,,MINERVA ATLANTICA,ONS,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,2,2017-07-01 00:00:00,,,INGRID KNUTSEN,ODO,STURE,,,1,,,,,,1,,,,,,2017,,
ja,3,2017-07-01 00:00:00,,,BRITISH EAGLE,ODO,STURE,,,1,,,,,1,1,,,,,,2017,,
ja,4,2017-07-01 00:00:00,,,POLAR,ONS,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,5,2017-07-02 00:00:00,,,CHEYENNE,AMU,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,6,2017-06-30 00:00:00,,,ARCTIC DISCOVERER,TJA,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,7,2017-07-02 00:00:00,,,CLIPPER JUPITER,TJA,Melkøya,,,1,,,,,,1,,,,,BESTILT SOM BÅT TIL BÅT MEN FLYDD SOM 2 TURER,2017,,
ja,8,2017-07-02 00:00:00,,,ARCTIC DISCOVERER,TJA,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,9,2017-07-02 00:00:00,,,BRITISH EAGLE,AMU,Sture,,,1,,,,,,1,,,,,,2017,,
ja,10,2017-07-03 00:00:00,,,GRENA KNUTSEN,AMU,Los øvrig,,,1,,,1,,,,,,,,KOM FRA ÅMØYFJORDEN,2017,,
ja,11,2017-07-03 00:00:00,,,TORILL KNUTSEN,TJA,Crew Change,,,,,2,1,,,,1,60,7,,CREW CHANGE 2/0 OFF HAMMERFEST,2017,,
ja,12,2017-07-03 00:00:00,,,PEARY SPIRIT,ONS,Mongstad,,,1,,,1,,2,,,,,,,2017,,
ja,13,2017-07-03 00:00:00,,,RIDGEBURY ALICE M,ONS,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,14,2017-07-04 00:00:00,,,SKS DIRIVA,AMU,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,15,2017-07-04 00:00:00,,,POLAR,AMU,Mongstad,,,1,,,,,1,1,,,,,15 minutter forsinket.  Avionic Fault.,2017,,
ja,16,2017-07-05 00:00:00,,,TORILL KNUTSEN,TJA,Crew Change,,,,,1,1,,,,1,94,10,,CREW CHANGE 0/1 OFF HAMMERFEST,2017,,
ja,17,2017-07-05 00:00:00,,,ASTRO POLARIS,ONS,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,18,2017-07-05 00:00:00,,,KAREN KNUTSEN,ONS,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,19,2017-07-05 00:00:00,,,PEARY SPIRIT,ONS,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,20,2017-07-05 00:00:00,,,RIDGEBURY ALICE M,ONS,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,21,2017-07-05 00:00:00,,,NANSEN SPIRIT,AMU,Crew Change,,,,,6,1,,,,1,200,12,,"CREW CHANGE, SOUTH OF STATFJORD 100 NM WEST N60*49,8' E002*04,6' Totalt 200 NM",2017,,
ja,22,2017-07-05 00:00:00,,,MINERVA ATLANTICA,AMU,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,23,2017-07-06 00:00:00,,,SEIPEM 7000,AMU,Los øvrig,,,1,,,1,,,,,,,,"RØVÆRFJORDEN 2 LOSER TIL HELGANES, ENHD",2017,,
ja,24,2017-07-06 00:00:00,,,ESTHER SPIRIT,AMU,Sture,,,1,,,,,1,1,,,,,Båten går til Sture,2017,,
ja,25,2017-07-06 00:00:00,,,ASTRO POLARIS,ODO,Mongstad,,,1,,,,,1,1,,,,,Båten kom fra Mongstad,2017,,
ja,26,2017-07-07 00:00:00,,,SKS DRIVA,AMU,Mongstad,,,1,,,,,,1,,,,,Båten kom fra Mongstad,2017,,
ja,27,2017-07-07 00:00:00,,,BW OSPREY,TJA,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,28,2017-07-08 00:00:00,,,OSLO TS,AMU,Kårstø,,,1,,,,,,1,,,,,,2017,,
ja,29,2017-07-08 00:00:00,,,Esther Spirit ,AMU,Sture,,,1,,,,,,1,,,,,Tur 30 og 31 er båt til båt,2017,,
ja,30,2017-07-08 00:00:00,,,MATTERHORN SPIRIT,AMU,Sture,,,1,,,,,,1,,,,,,2017,,
